Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2020,FSM,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,GAB,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,GAM,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,GBR,22,20,22,64,390,113,37,33,56,132,40,35,57
2020,GBS,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,GEO,2,5,1,8,33,8,2,5,1,8,2,5,1
2020,GEQ,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,GER,10,11,16,37,410,73,19,25,33,79,20,25,34
2020,GHA,0,0,1,1,14,1,0,0,1,1,0,0,1
2020,GRE,2,1,1,4,82,16,2,13,1,16,2,13,1
2020,GRN,0,0,1,1,6,1,0,0,1,1,0,0,1
2020,GUA,0,0,0,0,24,0,0,0,0,0,0,0,0
2020,GUI,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,GUM,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,GUY,0,0,0,0,7,0,0,0,0,0,0,0,0
2020,HAI,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,HKG,1,2,3,6,43,7,1,1,5,8,1,2,5
2020,HON,0,0,0,0,27,0,0,0,0,0,0,0,0
2020,HUN,6,7,7,20,172,46,9,7,35,51,9,7,35
2020,INA,1,1,3,5,28,6,2,1,3,6,2,1,3
2020,IND,1,2,4,7,125,24,1,2,21,24,1,2,21
2020,IRI,3,2,2,7,65,7,3,2,2,7,3,2,2
2020,IRL,2,0,2,4,121,8,3,0,5,8,3,0,5
2020,IRQ,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,ISL,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,ISR,2,0,2,4,89,14,2,0,12,14,2,0,12
2020,ISV,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,ITA,10,10,20,40,379,68,20,16,36,76,21,17,38
2020,IVB,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,JAM,4,1,4,9,59,16,7,1,10,21,9,1,11
2020,JOR,0,1,1,2,14,2,0,1,1,2,0,1,1
2020,JPN,27,14,17,58,610,114,66,41,21,131,68,41,22
2020,KAZ,0,0,8,8,97,8,0,0,8,8,0,0,8
2020,KEN,4,4,2,10,86,10,4,4,2,10,4,4,2
2020,KGZ,0,2,1,3,16,3,0,2,1,3,0,2,1
2020,KIR,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,KOR,6,4,10,20,238,34,11,7,17,38,14,7,17
2020,KOS,2,0,0,2,11,2,2,0,0,2,2,0,0
2020,KSA,0,1,0,1,33,1,0,1,0,1,0,1,0
2020,KUW,0,0,1,1,10,1,0,0,1,1,0,0,1
2020,LAO,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,LAT,1,0,1,2,33,5,4,0,1,5,4,0,1
2020,LBA,0,0,0,0,4,0,0,0,0,0,0,0,0
2020,LBN,0,0,0,0,6,0,0,0,0,0,0,0,0
2020,LBR,0,0,0,0,3,0,0,0,0,0,0,0,0
2020,LCA,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,LES,0,0,0,0,2,0,0,0,0,0,0,0,0
2020,LIE,0,0,0,0,5,0,0,0,0,0,0,0,0
2020,LTU,0,1,0,1,42,1,0,1,0,1,0,1,0
2020,LUX,0,0,0,0,12,0,0,0,0,0,0,0,0
